VD,North,East
1630162,6593660,667911
1630163,6593580,668502
1630164,6593000,668214
1630165,6593220,667512
1630170,6590560,666611
1630171,6591360,665996
1630172,6592020,666536
1630173,6591180,667234
1630174,6591420,666812
1630175,6590480,667208
1630176,6591110,668128
1630177,6591510,667362
1630178,6591690,666827
1630179,6591470,666985
1630180,6592220,668962
1630181,6591300,669866
1630182,6591940,670090
1630190,6589980,668634
1630191,6589860,667561
1630192,6589600,668251
1630193,6589220,669324
1630194,6590870,668770
1630195,6588420,669525
1830101,6583760,668943
1830102,6583740,668626
1830103,6584190,668342
1830104,6584280,668933
1830105,6584170,669147
1830106,6584390,668774
1830107,6584310,668540
1830108,6584440,668285
1830109,6584700,668285
1830110,6585000,668673
1830111,6584570,669108
1830112,6584910,669200
1830113,6585730,669161
1830114,6585900,668550
1830115,6585520,668463
1830116,6585750,667956
1830117,6584790,667943
1830118,6585140,667642
1830119,6585470,666670
1830120,6585880,666822
1830121,6585890,667390
1830122,6585440,667256
1830123,6586670,667732
1830124,6586590,668830
1830125,6584580,668582
1830126,6586410,667093
1830127,6586880,667276
1830128,6583490,668599
1840101,6586320,669679
1840102,6586700,670419
1840103,6586500,671842
1840104,6586160,673096
1840105,6583960,672195
1840106,6582960,671079
1840107,6582220,670876
1840108,6582540,670245
1840109,6582970,670255
1840110,6583300,670352
1840111,6583120,669350
1840112,6582740,669427
1840129,6585520,671188
1840131,6585180,671292
1840132,6586550,672503
1840133,6585840,672328
1840134,6587240,671018
1840135,6582720,670565
1840137,6586340,670175
1840138,6585710,670314
1840139,6583150,669797
1840142,6587180,669229
1840143,6585770,670969
1840144,6583050,670652
1840213,6583580,670759
1840214,6583680,670162
1840215,6583910,670519
1840216,6583610,669813
1840217,6583800,669529
1840218,6584370,670160
1840219,6584420,669613
1840220,6584660,669420
1840221,6584840,670168
1840222,6585100,670609
1840223,6584490,670359
1840224,6584400,670751
1840225,6584360,671633
1840226,6584310,670971
1840227,6584010,670888
1840228,6583750,671311
1840230,6584690,671373
1840236,6585030,669792
1840240,6584180,669933
1840241,6584600,670631
1840245,6584320,671295
1140101,6602040,663758
1140102,6603490,660761
1140120,6599100,662480
1140121,6601310,663447
1140126,6600560,663414
1140203,6601240,664305
1140204,6604370,665305
1140205,6601630,664825
1140206,6602240,664915
1140207,6600350,665940
1140208,6601160,665058
1140209,6600480,665155
1140210,6602200,664406
1140211,6602130,665787
1140212,6600260,664579
1140218,6601760,664297
1140219,6600800,664989
1140223,6601820,666152
1140224,6601930,665286
1140225,6602570,664926
1140313,6601180,666404
1140314,6599850,667319
1140315,6599950,666608
1140316,6599080,666499
1140317,6598410,666697
1140318,6603680,667788
1140327,6599550,668732
1230201,6588680,661740
1230202,6587860,662441
1230203,6587700,661067
1230204,6586840,660913
1230205,6586220,661083
1230206,6587260,661910
1230207,6589600,663249
1230208,6589970,662240
1230306,6587710,659135
1230307,6588190,657306
1230308,6588960,658241
1230309,6588860,658967
1230310,6588610,659546
1230311,6589000,660073
1230312,6589610,658975
